,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
75,51,technician,married,secondary,no,330,yes,no,unknown,13,may,72,4,-1,0,unknown,no
76,33,technician,single,secondary,no,6106,no,no,cellular,5,feb,345,1,-1,0,unknown,no
77,50,management,married,tertiary,no,4654,no,no,cellular,17,nov,251,2,-1,0,unknown,no
78,47,management,married,secondary,no,458,no,no,cellular,18,nov,66,1,-1,0,unknown,no
79,52,blue-collar,single,unknown,no,1785,no,no,cellular,3,feb,168,2,-1,0,unknown,no
80,42,self-employed,married,primary,no,3717,no,no,unknown,20,jun,235,1,-1,0,unknown,no
81,45,blue-collar,married,primary,no,333,yes,no,unknown,13,may,160,3,-1,0,unknown,no
82,56,blue-collar,divorced,secondary,no,1346,no,yes,cellular,28,jul,240,3,-1,0,unknown,no
83,45,blue-collar,married,unknown,no,850,no,no,cellular,19,aug,211,2,-1,0,unknown,no
84,33,housemaid,married,tertiary,no,4958,yes,no,unknown,20,may,434,1,-1,0,unknown,no
85,49,technician,married,tertiary,no,2950,yes,no,cellular,22,aug,91,16,-1,0,unknown,no
86,35,blue-collar,married,secondary,no,126,yes,no,cellular,16,apr,472,1,-1,0,unknown,no
87,27,admin.,single,tertiary,no,954,no,no,cellular,29,jan,186,1,-1,0,unknown,no
88,43,blue-collar,married,secondary,no,917,yes,no,cellular,8,may,87,2,-1,0,unknown,no
89,40,unemployed,married,primary,no,69,no,yes,cellular,4,feb,171,1,-1,0,unknown,no
90,51,management,divorced,tertiary,no,986,no,no,unknown,30,may,143,2,-1,0,unknown,no
91,35,management,married,tertiary,no,82,no,no,cellular,8,aug,507,4,-1,0,unknown,yes
92,40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no
93,33,unemployed,divorced,secondary,no,385,no,no,telephone,27,aug,29,28,-1,0,unknown,no
94,47,admin.,married,secondary,no,219,yes,no,unknown,5,may,577,1,-1,0,unknown,no
95,32,admin.,divorced,secondary,no,-273,yes,no,cellular,5,may,64,1,-1,0,unknown,no
96,35,blue-collar,single,secondary,no,343,yes,no,cellular,6,may,151,2,-1,0,unknown,no
97,34,entrepreneur,divorced,tertiary,no,262,no,no,cellular,20,nov,371,1,-1,0,unknown,no
98,30,services,married,secondary,no,208,no,no,cellular,9,sep,324,1,-1,0,unknown,no
99,41,services,divorced,secondary,no,2769,yes,no,unknown,18,jun,96,3,-1,0,unknown,no
100,35,technician,married,secondary,no,1577,yes,yes,cellular,17,nov,53,1,-1,0,unknown,no
101,59,retired,married,secondary,no,444,yes,no,unknown,6,jun,137,1,-1,0,unknown,no
102,37,blue-collar,married,secondary,no,489,yes,no,unknown,2,jun,24,1,-1,0,unknown,no
103,35,technician,single,tertiary,no,7546,yes,no,cellular,28,dec,137,1,122,3,failure,no
104,35,services,married,secondary,no,528,no,no,unknown,7,may,274,2,-1,0,unknown,no
105,40,admin.,married,secondary,no,1395,yes,yes,cellular,7,jul,122,2,-1,0,unknown,no
106,32,entrepreneur,divorced,secondary,no,1121,yes,yes,cellular,16,apr,211,3,-1,0,unknown,no
107,48,technician,divorced,secondary,no,94,yes,no,cellular,12,may,87,2,-1,0,unknown,no
108,32,blue-collar,married,primary,no,-94,yes,yes,cellular,11,may,308,1,-1,0,unknown,no
109,29,admin.,married,secondary,no,36,yes,no,unknown,28,may,126,1,-1,0,unknown,no
110,40,services,single,secondary,no,23,yes,no,unknown,8,may,179,5,-1,0,unknown,no
111,36,admin.,single,secondary,no,886,yes,yes,cellular,14,may,362,6,-1,0,unknown,no
112,40,admin.,married,secondary,no,2199,no,no,unknown,6,jun,38,3,-1,0,unknown,no
113,41,blue-collar,divorced,secondary,no,47,yes,no,unknown,3,jun,85,1,-1,0,unknown,no
114,34,admin.,married,secondary,no,159,yes,no,cellular,21,jul,124,1,-1,0,unknown,no
115,49,admin.,married,primary,no,169,yes,no,cellular,15,may,82,3,-1,0,unknown,no
116,32,admin.,married,tertiary,no,157,no,no,cellular,27,aug,300,4,-1,0,unknown,no
117,40,management,single,secondary,no,1623,yes,no,cellular,17,nov,161,1,167,2,failure,no
118,49,admin.,divorced,secondary,no,1718,no,yes,cellular,5,aug,211,1,-1,0,unknown,yes
119,52,entrepreneur,married,secondary,no,1306,no,no,cellular,15,jun,288,1,-1,0,unknown,yes
120,57,retired,divorced,primary,no,63,no,yes,cellular,25,jul,1448,17,-1,0,unknown,yes
121,53,retired,married,secondary,no,1139,yes,no,cellular,18,nov,180,1,186,6,failure,no
122,32,admin.,married,secondary,no,552,yes,no,cellular,6,may,98,2,-1,0,unknown,no
123,32,blue-collar,married,secondary,no,419,yes,no,cellular,20,apr,122,3,325,2,failure,no
124,31,management,single,tertiary,no,528,no,yes,cellular,21,nov,5,7,-1,0,unknown,no
125,52,services,married,primary,no,14,no,yes,cellular,28,jul,55,5,-1,0,unknown,no
126,37,management,married,tertiary,no,3770,yes,no,cellular,18,nov,106,1,110,4,failure,no
127,83,retired,divorced,primary,no,2619,no,no,telephone,16,oct,181,2,-1,0,unknown,no
128,35,management,married,tertiary,no,106,no,yes,cellular,11,aug,588,2,-1,0,unknown,no
129,54,admin.,divorced,secondary,no,791,no,yes,cellular,10,jul,66,1,-1,0,unknown,no
130,42,management,married,tertiary,no,1161,no,no,cellular,11,aug,101,5,-1,0,unknown,no
131,28,blue-collar,single,secondary,no,402,yes,no,cellular,18,may,632,1,-1,0,unknown,no
132,43,management,married,tertiary,no,-183,no,no,cellular,24,jul,65,1,-1,0,unknown,no
133,58,retired,married,unknown,no,662,yes,no,cellular,2,feb,389,1,-1,0,unknown,no
134,53,entrepreneur,married,tertiary,no,1961,no,no,cellular,15,dec,351,1,-1,0,unknown,yes
135,42,blue-collar,married,secondary,no,3,yes,no,telephone,20,nov,47,1,190,1,failure,no
136,26,blue-collar,married,primary,no,0,yes,no,unknown,21,may,425,1,-1,0,unknown,no
137,30,blue-collar,married,secondary,no,-109,yes,yes,cellular,7,may,160,4,-1,0,unknown,no
138,37,technician,divorced,tertiary,no,1174,yes,no,cellular,7,apr,436,1,140,2,failure,no
139,53,services,divorced,secondary,no,765,yes,no,cellular,14,may,959,3,174,7,other,yes
140,35,housemaid,single,secondary,no,-122,yes,yes,cellular,13,may,97,5,-1,0,unknown,no
141,34,admin.,married,secondary,no,645,yes,no,unknown,19,may,420,1,-1,0,unknown,no
142,53,admin.,married,secondary,no,2851,no,yes,telephone,1,jun,89,1,119,1,failure,no
143,25,unemployed,single,tertiary,no,2783,no,no,cellular,21,jul,137,3,-1,0,unknown,no
144,39,management,single,tertiary,no,86,yes,no,cellular,21,aug,140,4,-1,0,unknown,no
145,29,blue-collar,married,secondary,no,2,yes,yes,unknown,26,may,171,1,-1,0,unknown,no
146,50,retired,divorced,secondary,no,4861,no,no,unknown,20,jun,61,3,-1,0,unknown,no
147,51,management,married,tertiary,no,19313,no,no,telephone,21,nov,36,1,-1,0,unknown,no
148,33,blue-collar,single,secondary,no,123,yes,no,cellular,5,feb,273,3,212,4,failure,no
149,29,student,single,tertiary,no,80,yes,no,cellular,15,may,15,5,361,1,failure,no
150,60,services,married,secondary,no,4428,no,no,cellular,5,aug,382,1,97,5,other,no
151,32,management,single,tertiary,no,84,no,no,telephone,3,dec,37,1,-1,0,unknown,no
152,47,entrepreneur,married,tertiary,no,0,no,no,telephone,18,nov,103,2,-1,0,unknown,no
153,50,management,married,secondary,no,0,no,no,cellular,27,aug,97,7,-1,0,unknown,no
154,59,retired,divorced,secondary,no,5583,yes,no,cellular,30,apr,720,1,-1,0,unknown,yes
155,46,services,married,primary,no,13118,no,no,cellular,5,aug,414,2,-1,0,unknown,no
156,41,technician,married,secondary,no,4711,yes,no,cellular,20,nov,401,2,-1,0,unknown,no
157,41,services,married,secondary,no,108,yes,yes,unknown,13,may,83,7,-1,0,unknown,no
158,34,entrepreneur,married,secondary,no,3994,no,yes,cellular,28,jul,188,3,-1,0,unknown,no
159,41,blue-collar,single,secondary,no,184,yes,no,unknown,9,may,1054,2,-1,0,unknown,no
160,30,services,married,secondary,no,80,yes,no,unknown,8,may,185,2,-1,0,unknown,no
161,60,retired,married,primary,no,55,no,no,cellular,4,jun,207,1,-1,0,unknown,no
162,47,admin.,married,primary,no,31,yes,no,cellular,6,may,50,1,356,1,failure,no
163,41,technician,divorced,secondary,no,348,yes,no,cellular,7,may,225,2,275,2,failure,no
164,28,admin.,married,secondary,no,511,no,no,cellular,28,jan,485,1,-1,0,unknown,no
165,31,blue-collar,single,secondary,no,3201,yes,no,unknown,26,may,96,5,-1,0,unknown,no
166,37,technician,married,secondary,no,5115,yes,no,cellular,17,nov,1210,2,171,4,failure,yes
167,27,admin.,married,secondary,no,1033,yes,no,unknown,9,may,1713,1,-1,0,unknown,no
168,50,blue-collar,married,secondary,no,2320,yes,no,cellular,7,apr,310,1,-1,0,unknown,no
169,33,technician,married,secondary,no,2284,yes,yes,cellular,7,jul,210,2,-1,0,unknown,no
170,39,entrepreneur,married,tertiary,no,6495,no,no,unknown,19,jun,280,3,-1,0,unknown,no
171,72,retired,married,primary,no,1612,no,no,cellular,7,aug,530,2,-1,0,unknown,yes
172,56,retired,married,secondary,no,74,no,no,cellular,19,aug,144,2,-1,0,unknown,no
173,46,management,married,tertiary,no,4301,yes,yes,cellular,18,nov,50,1,183,2,failure,no
174,51,blue-collar,married,primary,no,620,yes,yes,cellular,29,jul,88,10,-1,0,unknown,no
175,27,blue-collar,single,unknown,no,89,yes,no,unknown,20,may,139,5,-1,0,unknown,no
176,42,unemployed,married,tertiary,no,1270,yes,no,unknown,15,may,192,1,-1,0,unknown,no
177,55,technician,married,primary,no,1498,no,yes,unknown,17,jun,345,2,-1,0,unknown,no
178,60,technician,divorced,primary,no,-85,no,yes,telephone,8,jul,58,2,-1,0,unknown,no
179,28,blue-collar,single,secondary,no,1285,no,no,telephone,22,jul,29,16,-1,0,unknown,no
180,30,management,single,tertiary,no,5288,yes,no,unknown,28,may,288,3,-1,0,unknown,no
181,25,management,single,tertiary,no,2399,yes,no,unknown,3,jun,193,2,-1,0,unknown,no
182,38,blue-collar,single,secondary,no,2707,yes,no,cellular,17,jul,120,3,-1,0,unknown,no
183,45,admin.,married,secondary,no,985,yes,no,unknown,13,may,390,1,-1,0,unknown,no
184,42,blue-collar,married,secondary,no,505,yes,no,cellular,15,may,117,1,-1,0,unknown,no
185,29,management,single,tertiary,no,0,yes,no,unknown,28,may,112,7,-1,0,unknown,no
186,37,technician,married,tertiary,no,1561,no,no,cellular,29,aug,88,7,-1,0,unknown,no
187,50,blue-collar,married,unknown,no,1537,no,no,unknown,17,jun,24,6,-1,0,unknown,no
188,50,housemaid,married,tertiary,no,1005,no,no,cellular,17,jul,188,3,-1,0,unknown,no
189,45,blue-collar,married,primary,yes,153,no,yes,cellular,18,jul,706,9,-1,0,unknown,no
190,26,technician,single,tertiary,no,822,no,no,telephone,3,feb,371,3,-1,0,unknown,no
191,40,management,married,secondary,no,99,no,no,cellular,9,feb,15,5,-1,0,unknown,no
192,45,management,married,secondary,no,0,yes,yes,cellular,28,jan,625,1,-1,0,unknown,no
193,39,entrepreneur,divorced,tertiary,no,208,yes,no,cellular,29,jan,81,1,240,2,failure,no
194,31,technician,married,tertiary,no,19,yes,no,cellular,28,jul,243,31,-1,0,unknown,no
195,59,entrepreneur,divorced,unknown,no,0,no,no,unknown,17,jun,956,2,-1,0,unknown,no
196,44,management,divorced,tertiary,no,0,no,no,cellular,28,aug,70,10,-1,0,unknown,no
197,50,blue-collar,married,primary,no,414,yes,no,unknown,29,may,121,1,-1,0,unknown,no
198,40,blue-collar,married,secondary,no,6536,no,no,unknown,5,jun,647,1,-1,0,unknown,no
199,40,self-employed,married,primary,no,435,yes,yes,unknown,3,jun,131,5,-1,0,unknown,no
200,37,management,married,tertiary,no,860,yes,no,cellular,17,apr,818,2,332,15,failure,no
201,55,technician,married,tertiary,no,11,no,no,cellular,21,aug,588,2,-1,0,unknown,no
202,51,unemployed,married,secondary,no,1052,no,no,cellular,25,aug,280,4,-1,0,unknown,no
203,43,technician,single,tertiary,no,4243,yes,no,unknown,23,may,30,10,-1,0,unknown,no
204,40,technician,married,secondary,no,1498,no,yes,cellular,21,aug,139,4,-1,0,unknown,no
205,45,entrepreneur,married,secondary,no,242,no,yes,cellular,4,feb,510,1,198,4,failure,no
206,40,blue-collar,married,primary,no,2502,yes,no,cellular,18,may,205,1,-1,0,unknown,no
207,32,blue-collar,married,secondary,no,-103,yes,no,cellular,14,may,298,1,-1,0,unknown,no
208,28,services,single,secondary,no,234,no,no,unknown,9,may,107,3,-1,0,unknown,no
209,29,services,married,secondary,no,13,no,no,cellular,10,jul,90,1,-1,0,unknown,no
210,26,student,single,tertiary,no,294,no,no,cellular,4,dec,208,2,-1,0,unknown,yes
211,59,management,divorced,tertiary,yes,-23,yes,no,telephone,7,may,287,2,-1,0,unknown,no
212,58,blue-collar,married,primary,no,73,no,no,unknown,17,jun,116,1,-1,0,unknown,no
213,33,self-employed,married,secondary,no,173,no,no,cellular,18,aug,26,5,-1,0,unknown,no
214,31,admin.,married,unknown,yes,-310,yes,no,unknown,28,may,433,3,-1,0,unknown,no
215,37,entrepreneur,married,tertiary,no,678,no,yes,unknown,19,jun,395,1,-1,0,unknown,no
216,34,admin.,single,secondary,no,5547,yes,no,unknown,23,may,313,1,-1,0,unknown,no
217,34,management,married,tertiary,no,902,yes,no,cellular,14,may,159,1,367,2,other,no
218,52,admin.,married,secondary,no,32,no,yes,cellular,9,jul,103,1,-1,0,unknown,no
219,54,blue-collar,married,secondary,no,285,yes,yes,telephone,30,jan,63,1,2,5,other,no
220,48,technician,married,secondary,no,0,no,no,cellular,28,jul,240,3,-1,0,unknown,no
221,56,retired,married,secondary,no,74,yes,no,unknown,26,may,152,2,-1,0,unknown,no
222,47,management,married,secondary,no,177,yes,no,cellular,14,may,95,3,-1,0,unknown,no
223,53,self-employed,married,tertiary,no,2627,yes,yes,unknown,16,jun,18,30,-1,0,unknown,no
224,30,blue-collar,married,primary,no,554,yes,no,unknown,27,may,89,5,-1,0,unknown,no
225,35,management,married,tertiary,no,1725,yes,yes,cellular,8,apr,180,2,254,7,failure,no
226,52,technician,married,tertiary,no,3440,yes,no,cellular,9,jul,194,1,-1,0,unknown,no
227,40,housemaid,married,primary,no,0,no,no,cellular,28,aug,16,20,-1,0,unknown,no
228,36,technician,married,secondary,no,318,no,no,cellular,30,jul,295,2,-1,0,unknown,no
229,29,self-employed,single,tertiary,no,5406,no,no,unknown,9,may,530,2,-1,0,unknown,no
230,33,technician,single,tertiary,no,340,no,no,cellular,8,aug,348,2,-1,0,unknown,no
231,33,entrepreneur,married,secondary,no,5809,yes,no,cellular,22,aug,219,4,-1,0,unknown,no
232,47,management,married,tertiary,no,295,yes,no,cellular,5,aug,157,1,-1,0,unknown,no
233,60,housemaid,married,primary,no,0,no,yes,telephone,22,jul,124,1,-1,0,unknown,no
234,54,unemployed,married,tertiary,no,0,no,yes,unknown,3,jul,188,1,-1,0,unknown,no
235,37,entrepreneur,single,tertiary,no,65,no,no,cellular,31,jul,22,4,-1,0,unknown,no
236,38,entrepreneur,married,tertiary,no,1649,no,yes,cellular,6,sep,218,2,432,3,success,no
237,44,housemaid,married,primary,no,64,no,yes,cellular,29,jul,223,6,-1,0,unknown,no
238,24,technician,married,secondary,no,556,yes,no,cellular,8,feb,278,1,94,4,success,yes
239,44,services,married,secondary,no,1872,yes,no,unknown,18,jun,146,3,-1,0,unknown,no
240,43,technician,single,tertiary,no,140,no,no,cellular,18,aug,192,7,-1,0,unknown,no
241,53,admin.,married,secondary,no,263,no,yes,cellular,18,jul,143,7,-1,0,unknown,no
242,45,entrepreneur,married,secondary,no,245,yes,no,unknown,14,may,126,3,-1,0,unknown,no
243,49,services,married,secondary,no,892,no,no,unknown,14,may,102,2,-1,0,unknown,no
244,35,self-employed,single,secondary,no,250,no,no,unknown,20,jun,170,1,-1,0,unknown,no
245,41,services,divorced,secondary,no,0,yes,no,cellular,2,feb,20,1,-1,0,unknown,no
246,36,technician,single,secondary,no,-475,yes,no,unknown,12,may,793,5,-1,0,unknown,no
247,33,blue-collar,married,primary,no,1138,yes,yes,cellular,15,may,122,2,343,4,failure,no
248,34,blue-collar,married,secondary,no,563,no,yes,cellular,3,feb,150,2,-1,0,unknown,no
249,35,technician,single,secondary,no,183,no,no,cellular,23,oct,281,1,52,4,failure,yes
250,36,blue-collar,divorced,primary,no,715,no,yes,cellular,28,jul,128,4,-1,0,unknown,no
251,35,technician,single,tertiary,no,1455,yes,no,unknown,15,may,70,6,-1,0,unknown,no
252,44,management,single,tertiary,no,617,no,no,telephone,31,jul,30,2,-1,0,unknown,no
253,27,admin.,single,secondary,no,295,yes,no,unknown,3,jun,148,13,-1,0,unknown,no
254,30,services,single,secondary,no,342,yes,no,unknown,7,may,206,2,-1,0,unknown,no
255,50,self-employed,married,secondary,no,111,no,no,cellular,11,aug,277,3,-1,0,unknown,no
256,30,management,married,tertiary,no,1418,yes,yes,cellular,13,apr,185,2,-1,0,unknown,no
257,38,blue-collar,married,unknown,no,5,yes,no,unknown,7,may,221,2,-1,0,unknown,no
258,56,retired,married,primary,no,-299,yes,no,unknown,28,may,68,1,-1,0,unknown,no
259,48,self-employed,married,primary,no,3062,no,no,unknown,19,jun,237,5,-1,0,unknown,no
260,58,blue-collar,married,primary,no,4354,yes,no,cellular,22,aug,98,7,-1,0,unknown,no
261,46,technician,single,secondary,yes,-1124,yes,yes,unknown,9,may,206,2,-1,0,unknown,no
262,40,management,married,tertiary,no,-1212,yes,no,cellular,15,may,1259,2,333,18,failure,no
263,26,student,single,secondary,no,715,yes,no,unknown,20,jun,31,10,-1,0,unknown,no
264,41,unknown,single,tertiary,no,1567,no,no,cellular,1,jul,291,2,-1,0,unknown,no
265,31,blue-collar,single,secondary,no,-4,yes,no,cellular,15,may,110,1,-1,0,unknown,no
266,25,blue-collar,married,secondary,no,51,yes,no,unknown,23,may,76,2,-1,0,unknown,no
267,39,technician,divorced,secondary,no,566,no,no,cellular,21,nov,46,7,-1,0,unknown,no
268,34,management,single,tertiary,no,2360,yes,no,cellular,15,may,137,2,176,1,failure,no
269,39,services,single,secondary,no,315,yes,no,cellular,15,may,14,3,-1,0,unknown,no
270,55,admin.,married,secondary,no,9329,no,no,cellular,19,mar,181,1,-1,0,unknown,no
271,45,technician,married,secondary,no,-374,no,yes,cellular,18,aug,149,5,-1,0,unknown,no
272,40,technician,married,secondary,no,312,no,no,cellular,25,may,612,7,-1,0,unknown,yes
273,42,entrepreneur,married,tertiary,no,0,no,no,cellular,9,jul,236,1,-1,0,unknown,no
274,50,blue-collar,married,secondary,no,-26,yes,no,cellular,8,may,301,2,-1,0,unknown,no
275,33,technician,single,secondary,no,0,no,no,cellular,26,aug,73,4,-1,0,unknown,no
276,31,management,married,unknown,no,385,no,no,cellular,29,sep,242,2,491,4,failure,no
277,35,self-employed,single,secondary,no,1732,no,no,telephone,21,nov,1441,3,-1,0,unknown,no
278,38,blue-collar,married,primary,no,506,yes,yes,unknown,12,jun,122,1,-1,0,unknown,no
279,32,technician,single,secondary,no,316,no,no,cellular,26,aug,137,2,-1,0,unknown,no
280,35,unemployed,single,tertiary,no,2340,no,no,cellular,31,jul,420,9,-1,0,unknown,no
281,28,blue-collar,single,secondary,no,4229,yes,yes,cellular,5,may,205,2,-1,0,unknown,no
282,48,blue-collar,married,primary,no,492,no,yes,cellular,21,aug,139,2,-1,0,unknown,no
283,50,technician,married,tertiary,no,1830,no,no,cellular,14,may,318,3,-1,0,unknown,no
284,44,management,married,tertiary,no,349,no,no,unknown,9,jun,58,1,-1,0,unknown,no
285,60,services,married,secondary,no,2858,no,no,cellular,14,aug,155,2,-1,0,unknown,no
286,53,blue-collar,married,secondary,no,913,yes,no,cellular,23,jul,730,1,-1,0,unknown,no
287,36,technician,married,secondary,no,287,no,no,cellular,22,aug,381,6,-1,0,unknown,no
288,53,blue-collar,married,primary,no,252,no,no,cellular,31,jul,727,4,-1,0,unknown,yes
289,28,blue-collar,single,secondary,no,623,no,no,unknown,18,jun,25,41,-1,0,unknown,no
290,53,technician,single,secondary,no,708,yes,no,unknown,16,may,631,3,-1,0,unknown,no
291,40,self-employed,married,primary,no,42,no,no,cellular,11,jul,264,3,-1,0,unknown,no
292,47,blue-collar,married,secondary,no,310,yes,no,cellular,29,jul,145,3,-1,0,unknown,no
293,29,management,single,tertiary,no,3041,yes,no,cellular,8,may,606,3,-1,0,unknown,yes
294,42,services,married,secondary,no,3689,yes,no,unknown,3,jun,363,1,-1,0,unknown,no
